annee,departement,amm,quantite_produit,conditionnement,eaj
2016,AIN,1030003,4.3,L,Oui
2016,AIN,2000003,6064.4,L,Non
2016,AIN,2000017,9.6,L,Oui
2016,AIN,2000018,12740.4,K,Non
2016,AIN,2000044,594.0,L,Non
2016,AIN,2000051,5.0,L,Non
2016,AIN,2000071,2307.0,K,Oui
2016,AIN,2000087,64.0,K,Non
2016,AIN,2000122,7.2,L,Non
2016,AIN,2000125,1955.5,K,Oui
2016,AIN,2000150,5.0,L,Oui
2016,AIN,2000201,197.2,L,Non
2016,AIN,2000205,3.6,K,Non
2016,AIN,2000207,70.0,L,Non
2016,AIN,2000208,3.5,L,Non
2016,AIN,2000216,45.0,L,Non
2016,AIN,2000222,3.3,L,Oui
2016,AIN,2000228,72.0,K,Oui
2016,AIN,2000236,13.0,L,Non
2016,AIN,2000294,90.0,K,Non
2016,AIN,2000299,323.0,L,Non
2016,AIN,2000305,30.0,L,Non
2016,AIN,2000324,36.0,L,Non
2016,AIN,2000327,441.0,L,Non
2016,AIN,2000336,5.0,K,Non
2016,AIN,2000338,10.0,K,Non
2016,AIN,2000341,770.0,K,Non
2016,AIN,2000362,4.5,K,Oui
2016,AIN,2000364,3.0,K,Oui
2016,AIN,2000366,1.5,L,Oui
2016,AIN,2000369,23.7,K,Non
2016,AIN,2000390,1819.2,K,Oui
2016,AIN,2000416,7.0,L,Oui
2016,AIN,2000461,3915.0,L,Non
2016,AIN,2000500,5308.0,L,Oui
2016,AIN,2000502,24.5,L,Non
2016,AIN,2000510,6967.0,K,Oui
2016,AIN,2000517,461.6,L,Oui
2016,AIN,2000536,70.0,K,Non
2016,AIN,2010019,349.0,L,Non
2016,AIN,2010023,1368.0,L,Non
2016,AIN,2010025,295.0,L,Non
2016,AIN,2010030,475.0,L,Non
2016,AIN,2010035,1353.8,L,Oui
2016,AIN,2010047,40.0,L,Non
2016,AIN,2010100,1.0,L,Oui
2016,AIN,2010118,837.0,K,Oui
2016,AIN,2010130,1720.0,K,Non
2016,AIN,2010132,34.0,K,Non
2016,AIN,2010139,14.7,L,Non
2016,AIN,2010239,2230.0,L,Non
2016,AIN,2010280,4960.3,L,Non
2016,AIN,2010282,1241.0,L,Non
2016,AIN,2010284,1.5,L,Oui
2016,AIN,2010299,6.7,K,Oui
2016,AIN,2010310,55.0,L,Non
2016,AIN,2010315,0.3,K,Non
2016,AIN,2010319,132.3,L,Oui
2016,AIN,2010321,317.7,L,Oui
2016,AIN,2010335,10.5,L,Oui
2016,AIN,2010351,613.0,K,Non
2016,AIN,2010410,452.4,K,Oui
2016,AIN,2010415,43265.0,L,Non
2016,AIN,2010419,424.8,K,Non
2016,AIN,2010425,28.7,K,Non
2016,AIN,2010427,60.0,L,Non
2016,AIN,2010432,5.7,L,Oui
2016,AIN,2010438,16.0,L,Oui
2016,AIN,2010439,55.1,L,Oui
2016,AIN,2010441,80.0,L,Non
2016,AIN,2010493,733.6,K,Oui
2016,AIN,2010495,2670.0,K,Non
2016,AIN,2010499,2815.0,L,Non
2016,AIN,2010509,757.0,K,Oui
2016,AIN,2010512,2.7,L,Oui
2016,AIN,2010513,728.0,K,Non
2016,AIN,2010525,4.0,K,Non
2016,AIN,2010530,1.8,L,Oui
2016,AIN,2010531,3370.0,L,Non
2016,AIN,2010537,2.2,K,Non
2016,AIN,2010584,15.0,L,Non
2016,AIN,2010588,5.0,L,Non
2016,AIN,2010612,4020.0,L,Oui
2016,AIN,2010618,409.1,K,Oui
2016,AIN,2010632,46.0,K,Non
2016,AIN,2010640,10.0,K,Non
2016,AIN,2020003,2903.3,K,Oui
2016,AIN,2020020,6.0,L,Oui
2016,AIN,2020021,10.0,L,Non
2016,AIN,2020027,1.0,K,Oui
2016,AIN,2020047,10.0,L,Oui
2016,AIN,2020062,20.0,L,Non
2016,AIN,2020065,51.4,K,Oui
2016,AIN,2020069,45.0,L,Non
2016,AIN,2020110,853.4,K,Non
2016,AIN,2020199,6.4,K,Non
2016,AIN,2020216,1.0,L,Non
2016,AIN,2020219,1.0,L,Non
2016,AIN,2020226,1.0,L,Non
2016,AIN,2020233,3700.0,K,Non
2016,AIN,2020238,20.0,L,Oui
2016,AIN,2020267,6.0,K,Non
2016,AIN,2020301,63.0,L,Oui
2016,AIN,2020318,70.6,L,Oui
2016,AIN,2020328,590.0,L,Non
2016,AIN,2020339,25.0,L,Non
2016,AIN,2020348,255.0,L,Non
2016,AIN,2020426,3.0,L,Oui
2016,AIN,2020448,3.8,L,Oui
2016,AIN,2020456,180.0,L,Non
2016,AIN,2020474,715.0,L,Non
2016,AIN,2030010,984.0,L,Non
2016,AIN,2030073,165.0,K,Non
2016,AIN,2030125,976.9,L,Oui
2016,AIN,2030174,2.6,K,Non
2016,AIN,2030175,1806.2,K,Oui
2016,AIN,2030255,3645.0,L,Non
2016,AIN,2030273,184.6,L,Oui
2016,AIN,2030286,5.6,L,Oui
2016,AIN,2030321,3.0,L,Oui
2016,AIN,2030323,1391.5,L,Non
2016,AIN,2030332,972.2,L,Oui
2016,AIN,2030404,1493.0,L,Non
2016,AIN,2030457,6.5,K,Non
2016,AIN,2030466,16.2,K,Oui
2016,AIN,2040019,25.0,K,Non
2016,AIN,2040079,4.5,L,Oui
2016,AIN,2040080,187.0,K,Oui
2016,AIN,2040085,18.1,L,Oui
2016,AIN,2040109,30.2,K,Non
2016,AIN,2040146,369.0,L,Non
2016,AIN,2040195,543.0,L,Non
2016,AIN,2040199,37.0,K,Non
2016,AIN,2040201,15.0,L,Non
2016,AIN,2040205,60.0,K,Oui
2016,AIN,2040330,3940.0,K,Oui
2016,AIN,2040348,6.0,K,Non
2016,AIN,2050038,0.5,L,Oui
2016,AIN,2050041,36.0,L,Oui
2016,AIN,2050046,17.0,K,Non
2016,AIN,2050050,54.4,L,Oui
2016,AIN,2050075,346.5,K,Non
2016,AIN,2050076,111.8,K,Non
2016,AIN,2050077,8.0,K,Oui
2016,AIN,2050078,10.0,L,Non
2016,AIN,2050136,2949.0,K,Non
2016,AIN,2050144,144.0,L,Oui
2016,AIN,2050145,1670.0,L,Oui
2016,AIN,2050146,4973.0,L,Oui
2016,AIN,2060002,419.0,L,Non
2016,AIN,2060011,0.2,L,Oui
2016,AIN,2060026,4.8,K,Non
2016,AIN,2060050,349.6,L,Non
2016,AIN,2060051,105.0,L,Non
2016,AIN,2060063,42.2,K,Non
2016,AIN,2060084,2106.0,K,Non
2016,AIN,2060085,117.0,L,Non
2016,AIN,2060086,8.1,K,Non
2016,AIN,2060088,46147.9,L,Non
2016,AIN,2060091,750.0,L,Non
2016,AIN,2060098,253.2,L,Non
2016,AIN,2060113,5.0,L,Non
2016,AIN,2060114,2.6,L,Non
2016,AIN,2060115,140.0,L,Non
2016,AIN,2060116,67.5,L,Non
2016,AIN,2060118,300.0,L,Non
2016,AIN,2060119,4.0,K,Non
2016,AIN,2060126,0.6,L,Non
2016,AIN,2060127,584.8,L,Non
2016,AIN,2060129,9.2,K,Non
2016,AIN,2060131,2080.5,L,Oui
2016,AIN,2060133,154.0,L,Non
2016,AIN,2060134,3780.0,K,Non
2016,AIN,2060175,3470.0,K,Oui
2016,AIN,2060194,27566.0,K,Non
2016,AIN,2070107,369.0,L,Non
2016,AIN,2070133,775.0,L,Non
2016,AIN,2070136,280.0,K,Oui
2016,AIN,2070170,343.1,L,Oui
2016,AIN,2070184,610.0,L,Non
2016,AIN,2070185,55.0,L,Non
2016,AIN,2070193,1680.0,L,Non
2016,AIN,2070221,7355.0,L,Non
2016,AIN,2080018,3274.2,L,Oui
2016,AIN,2080019,90.0,L,Non
2016,AIN,2080025,100.0,L,Non
2016,AIN,2080026,442.0,L,Non
2016,AIN,2080029,200.7,L,Non
2016,AIN,2080039,290.0,L,Non
2016,AIN,2080053,89.0,L,Oui
2016,AIN,2080054,3336.1,L,Oui
2016,AIN,2080060,18.0,L,Non
2016,AIN,2080061,10.0,K,Non
2016,AIN,2080070,80.0,K,Non
2016,AIN,2080089,16.9,L,Oui
2016,AIN,2080090,0.5,L,Oui
2016,AIN,2080091,12.0,K,Oui
2016,AIN,2080094,790.5,K,Non
2016,AIN,2080097,10.0,L,Non
2016,AIN,2080098,118.1,L,Oui
2016,AIN,2080099,220.0,K,Non
2016,AIN,2080100,40.0,K,Non
2016,AIN,2080101,584.0,K,Non
2016,AIN,2080102,995.0,L,Non
2016,AIN,2080103,420.0,L,Non
2016,AIN,2080105,78.0,L,Non
2016,AIN,2080109,152.0,L,Non
2016,AIN,2080112,1782.2,L,Non
2016,AIN,2080113,840.0,K,Non
2016,AIN,2080114,50.0,L,Non
2016,AIN,2080117,7.8,K,Non
2016,AIN,2080119,6197.0,L,Non
2016,AIN,2080120,94.0,L,Non
2016,AIN,2080121,249.0,K,Non
2016,AIN,2080129,271.0,L,Non
2016,AIN,2080132,9.8,L,Oui
2016,AIN,2080133,264.4,L,Oui
2016,AIN,2080134,10.0,L,Oui
2016,AIN,2080136,193.0,K,Non
2016,AIN,2080145,45.0,L,Non
2016,AIN,2080147,45.4,L,Non
2016,AIN,2090001,47.4,L,Non
2016,AIN,2090005,16.0,K,Non
2016,AIN,2090008,1796.0,L,Non
2016,AIN,2090011,610.0,L,Non
2016,AIN,2090016,445.0,L,Non
2016,AIN,2090019,735.0,L,Non
2016,AIN,2090024,1265.0,L,Non
2016,AIN,2090026,30.0,L,Non
2016,AIN,2090032,138.0,L,Oui
2016,AIN,2090033,34.0,L,Oui
2016,AIN,2090034,137.3,L,Oui
2016,AIN,2090036,648.6,L,Oui
2016,AIN,2090037,3280.0,K,Non
2016,AIN,2090041,860.0,K,Non
2016,AIN,2090042,194.6,K,Non
2016,AIN,2090043,36.5,L,Non
2016,AIN,2090044,1300.9,L,Oui
2016,AIN,2090045,379.2,L,Oui
2016,AIN,2090050,271348.2,K,Non
2016,AIN,2090052,63.8,K,Non
2016,AIN,2090053,1785.0,L,Non
2016,AIN,2090054,342.4,K,Non
2016,AIN,2090055,60.0,L,Non
2016,AIN,2090057,29.0,K,Non
2016,AIN,2090060,90.0,L,Non
2016,AIN,2090063,76.0,K,Non
2016,AIN,2090064,5060.0,L,Non
2016,AIN,2090068,275.0,L,Non
2016,AIN,2090069,365.0,L,Non
2016,AIN,2090070,39.8,K,Non
2016,AIN,2090072,46.3,K,Non
2016,AIN,2090078,2.9,L,Oui
2016,AIN,2090079,44.3,L,Oui
2016,AIN,2090080,3305.0,L,Non
2016,AIN,2090082,8.0,L,Non
2016,AIN,2090090,1.0,L,Non
2016,AIN,2090091,137.0,K,Non
2016,AIN,2090092,410.0,L,Non
2016,AIN,2090093,235.0,L,Non
2016,AIN,2090094,1435.0,K,Non
2016,AIN,2090101,305.0,L,Non
2016,AIN,2090103,150.0,K,Non
2016,AIN,2090111,1.3,L,Non
2016,AIN,2090112,115.0,L,Non
2016,AIN,2090113,4430.0,L,Non
2016,AIN,2090114,0.5,K,Non
2016,AIN,2090115,320.0,L,Non
2016,AIN,2090116,25.0,L,Non
2016,AIN,2090117,672.0,L,Non
2016,AIN,2090118,7820.0,L,Non
2016,AIN,2090119,1610.0,L,Non
2016,AIN,2090121,500.0,L,Non
2016,AIN,2090123,87.0,L,Non
2016,AIN,2090124,442.3,L,Oui
2016,AIN,2090126,3629.5,L,Non
2016,AIN,2090127,205.0,L,Non
2016,AIN,2090128,35.0,L,Non
2016,AIN,2090132,2730.0,L,Non
2016,AIN,2090135,590.0,K,Non
2016,AIN,2090136,1625.0,L,Non
2016,AIN,2090138,1.0,K,Non
2016,AIN,2090146,1002.1,L,Oui
2016,AIN,2090149,25.0,L,Non
2016,AIN,2090152,137.5,L,Non
2016,AIN,2090153,68.4,K,Non
2016,AIN,2090159,68.6,K,Non
2016,AIN,2090160,63300.0,L,Non
2016,AIN,2090164,4943.7,L,Oui
2016,AIN,2090165,51.0,L,Oui
2016,AIN,2090170,60.0,K,Non
2016,AIN,2090172,3250.0,L,Non
2016,AIN,2090173,780.0,L,Non
2016,AIN,2090176,1419.8,L,Oui
2016,AIN,2090178,892.5,L,Oui
2016,AIN,2090186,6040.0,L,Non
2016,AIN,2090189,10.0,L,Non
2016,AIN,2090199,955.9,L,Oui
2016,AIN,2090200,652.5,L,Oui
2016,AIN,2100001,1165.0,L,Non
2016,AIN,2100004,1788.5,L,Oui
2016,AIN,2100009,447.3,K,Non
2016,AIN,2100011,120.0,L,Non
2016,AIN,2100014,30.0,K,Non
2016,AIN,2100015,33.3,K,Non
2016,AIN,2100016,23.8,K,Non
2016,AIN,2100025,13.0,L,Non
2016,AIN,2100026,171.0,L,Non
2016,AIN,2100028,5.0,L,Non
2016,AIN,2100030,9238.0,K,Non
2016,AIN,2100035,5.0,L,Non
2016,AIN,2100040,320.0,L,Non
